T (K)      Macro Gruneisen          Macro Gruneisen            LTEC (K-1)               LTEC (K-1)        
1     -4.242813224307230e+01    4.032481442579971e+00   -1.195925704163007e-10    2.095227695123807e-10
2     -4.039144355377039e+01    3.937627465439703e+00   -9.430991492610398e-10    1.709059022211908e-09
3     -3.477253501566152e+01    3.784460057473873e+00   -2.104288679558159e-09    4.403748750526740e-09
4     -2.812474159704198e+01    3.659983432132599e+00   -3.568877410897504e-09    9.364984227408073e-09
5     -2.309653603247166e+01    3.553656374712574e+00   -5.360808704324309e-09    1.727949723290806e-08
6     -1.967294370461975e+01    3.451014627462104e+00   -7.490750947085814e-09    2.827454918135297e-08
7     -1.725992477175185e+01    3.350163892596624e+00   -9.943082176657884e-09    4.233443284758671e-08
8     -1.545718672011646e+01    3.253557816975937e+00   -1.268941146542834e-08    5.945757868228739e-08
9     -1.404341022545410e+01    3.163355263148861e+00   -1.569849547751513e-08    7.966352141628825e-08
10    -1.289440434798034e+01    3.080483972774991e+00   -1.894049697443511e-08    1.029779400691340e-07
11    -1.193590530745599e+01    3.004968269267100e+00   -2.238844270680818e-08    1.294252355643493e-07
12    -1.112045734630725e+01    2.936379515345510e+00   -2.601854640555224e-08    1.590284548949326e-07
13    -1.041594467799166e+01    2.874125101094148e+00   -2.981008909265045e-08    1.918129514019765e-07
14    -9.799588775686665e+00    2.817589986002082e+00   -3.374513551273688e-08    2.278110648440100e-07
15    -9.254628582150882e+00    2.766193513334821e+00   -3.780820663241028e-08    2.670659880074753e-07
16    -8.768389884371429e+00    2.719406174006303e+00   -4.198596141570739e-08    3.096336634710892e-07
17    -8.331103536262532e+00    2.676749705762565e+00   -4.626690876348797e-08    3.555821887445946e-07
18    -7.935140204486670e+00    2.637791292507412e+00   -5.064115406699858e-08    4.049887920524142e-07
19    -7.574485115633363e+00    2.602136588001805e+00   -5.510017734209756e-08    4.579348872474771e-07
20    -7.244358268656192e+00    2.569423571936591e+00   -5.963663763305984e-08    5.144999656873006e-07
21    -6.940929050700452e+00    2.539317962551689e+00   -6.424419877041358e-08    5.747551372287237e-07
22    -6.661096943601836e+00    2.511510246444494e+00   -6.891737296378337e-08    6.387570387543969e-07
23    -6.402321644924970e+00    2.485714043768857e+00   -7.365138015347058e-08    7.065426501291875e-07
24    -6.162491770633830e+00    2.461665387775389e+00   -7.844202210915630e-08    7.781253516528175e-07
25    -5.939824270702950e+00    2.439122492543560e+00   -8.328557085687634e-08    8.534923648919958e-07
26    -5.732788316387685e+00    2.417865655952153e+00   -8.817867120953028e-08    9.326035631696645e-07
27    -5.540048476528097e+00    2.397697051011420e+00   -9.311825710260771e-08    1.015391527198886e-06
28    -5.360422836384912e+00    2.378440265470108e+00   -9.810148122365889e-08    1.101762653799912e-06
29    -5.192852456365773e+00    2.359939538569294e+00   -1.031256571704656e-07    1.191599094433524e-06
30    -5.036379250588119e+00    2.342058707599815e+00   -1.081882131434608e-07    1.284761296538368e-06
31    -4.890129980635582e+00    2.324679915742975e+00   -1.132866560070624e-07    1.381090935614919e-06
32    -4.753304595419089e+00    2.307702150811800e+00   -1.184185444542792e-07    1.480414052128252e-06
33    -4.625167596281442e+00    2.291039687669279e+00   -1.235814699768702e-07    1.582544238734224e-06
34    -4.505041467784066e+00    2.274620500779966e+00   -1.287730443692337e-07    1.687285755852198e-06
35    -4.392301495866714e+00    2.258384702040526e+00   -1.339908925645587e-07    1.794436484437009e-06
36    -4.286371507053683e+00    2.242283045976866e+00   -1.392326497027732e-07    1.903790652315829e-06
37    -4.186720217368277e+00    2.226275531680395e+00   -1.444959614490882e-07    2.015141293873873e-06
38    -4.092857989638422e+00    2.210330119652533e+00   -1.497784867092435e-07    2.128282422006447e-06
39    -4.004333873680594e+00    2.194421572543983e+00   -1.550779020150622e-07    2.243010906290481e-06
40    -3.920732854444378e+00    2.178530421695764e+00   -1.603919069760086e-07    2.359128062670919e-06
41    -3.841673265774153e+00    2.162642056248104e+00   -1.657182303053889e-07    2.476440968114466e-06
42    -3.766804347511615e+00    2.146745928097403e+00   -1.710546360314840e-07    2.594763519190723e-06
43    -3.695803935313093e+00    2.130834863830713e+00   -1.763989295932508e-07    2.713917256913756e-06
44    -3.628376278732901e+00    2.114904473643082e+00   -1.817489635971522e-07    2.833731981881990e-06
45    -3.564249985887392e+00    2.098952646874054e+00   -1.871026430766195e-07    2.954046184196915e-06
46    -3.503176093764215e+00    2.082979123959806e+00   -1.924579301494634e-07    3.074707312162111e-06
47    -3.444926262899177e+00    2.066985135107346e+00   -1.978128480122750e-07    3.195571902642188e-06
48    -3.389291094295723e+00    2.050973096719961e+00   -2.031654842456523e-07    3.316505594418542e-06
49    -3.336078565464239e+00    2.034946357437065e+00   -2.085139934311276e-07    3.437383044087735e-06
50    -3.285112581511661e+00    2.018908986524870e+00   -2.138565991010727e-07    3.558087762139557e-06
51    -3.236231636418244e+00    2.002865598217241e+00   -2.191915950576958e-07    3.678511884921786e-06
52    -3.189287579037393e+00    1.986821206426869e+00   -2.245173461074640e-07    3.798555896315550e-06
53    -3.144144477949959e+00    1.970781105006344e+00   -2.298322882637468e-07    3.918128311155708e-06
54    -3.100677579079286e+00    1.954750769426739e+00   -2.351349284739421e-07    4.037145330764034e-06
55    -3.058772349902037e+00    1.938735776354801e+00   -2.404238439284405e-07    4.155530479436083e-06
56    -3.018323604143285e+00    1.922741738149343e+00   -2.456976810080878e-07    4.273214229342273e-06
57    -2.979234700994481e+00    1.906774249766812e+00   -2.509551539247538e-07    4.390133620070383e-06
58    -2.941416813114670e+00    1.890838845970628e+00   -2.561950431066097e-07    4.506231877945564e-06
59    -2.904788257946695e+00    1.874940967084646e+00   -2.614161933760636e-07    4.621458039307686e-06
60    -2.869273887183517e+00    1.859085931824781e+00   -2.666175119642623e-07    4.735766581094438e-06
61    -2.834804529540617e+00    1.843278915990471e+00   -2.717979664018194e-07    4.849117061361795e-06
62    -2.801316482317846e+00    1.827524936005510e+00   -2.769565823211607e-07    4.961473771759849e-06
63    -2.768751047559440e+00    1.811828836471283e+00   -2.820924412016737e-07    5.072805403461053e-06
64    -2.737054108938285e+00    1.796195281039706e+00   -2.872046780848195e-07    5.183084727598896e-06
65    -2.706175745795469e+00    1.780628746032624e+00   -2.922924792825586e-07    5.292288290908101e-06
66    -2.676069881056002e+00    1.765133516333087e+00   -2.973550800989061e-07    5.400396126953611e-06
67    -2.646693960014471e+00    1.749713683155111e+00   -3.023917625811813e-07    5.507391483086322e-06
68    -2.618008657239642e+00    1.734373143365316e+00   -3.074018533145754e-07    5.613260563061527e-06
69    -2.589977609084254e+00    1.719115600084575e+00   -3.123847212710167e-07    5.717992285094305e-06
70    -2.562567169505805e+00    1.703944564342794e+00   -3.173397757209583e-07    5.821578054998875e-06
71    -2.535746187106616e+00    1.688863357596774e+00   -3.222664642146552e-07    5.924011553960935e-06
72    -2.509485801487477e+00    1.673875114951471e+00   -3.271642706376911e-07    6.025288540418480e-06
73    -2.483759257179873e+00    1.658982788949860e+00   -3.320327133439664e-07    6.125406665473773e-06
74    -2.458541733577890e+00    1.644189153817295e+00   -3.368713433680235e-07    6.224365301223221e-06
75    -2.433810189433701e+00    1.629496810063353e+00   -3.416797427174844e-07    6.322165381370391e-06
76    -2.409543220610647e+00    1.614908189358424e+00   -3.464575227454189e-07    6.418809253476975e-06
77    -2.385720929906787e+00    1.600425559614354e+00   -3.512043226017115e-07    6.514300542205874e-06
78    -2.362324807869895e+00    1.586051030208560e+00   -3.559198077618642e-07    6.608644022917037e-06
